date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-04 07:11:37,USEmbassyBKK,,0,0,1,"“การเติบโตและพัฒนาทางเศรษฐกิจที่เราเห็นอยู่ทั่วภูมิภาคนี้จะส่งผลให้เกิดความต้องการแหล่งพลังงานที่หลากหลายและเชื่อถือได้อย่างต่อเนื่อง โดยจะต้องตอบสนองต่อความต้องการของเศรษฐกิจและประชาชนในภูมิภาคได้ด้วย” - เคนเน็ธ ฮัมฟรีย์ รองผู้ช่วยรมต. @energy #IndoPacificBizForum",,@ENERGY,#IndoPacificBizForum,1191251636456345601,https://twitter.com/USEmbassyBKK/status/1191251636456345601
2019-11-04 07:09:27,USEmbassyBKK,USEmbassyBKK,0,4,2,".@IEA estimates next 20yrs, #IndoPacific’s demand for electricity will grow dramatically. ""Energy Sustainability in #IndoPacific"" panel discusses how initiatives like Asia EDGE can help the region meet needs. Panelists include Ken Humphreys, PDAS of @energy. #IndoPacificBizForum",,@IEA @ENERGY,#IndoPacific #IndoPacific #IndoPacificBizForum,1191251093860126720,https://twitter.com/USEmbassyBKK/status/1191251093860126720
2019-11-04 07:07:36,USEmbassyBKK,,0,0,1,".@IEA คาดว่า 20 ปีข้างหน้า ความต้องการไฟฟ้าของ #IndoPacific จะเพิ่มขึ้นอย่างรวดเร็ว การอภิปราย “ความยั่งยืนทางพลังงานในภูมิภาคอินโดแปซิฟิก” พูดคุยว่าโครงการอย่าง Asia EDGE จะช่วยภูมิภาคตอบสนองต่อความต้องการอย่างไร Ken Humphreys รองผช.รมว. @energy ร่วมอภิปราย #IndoPacificBizForum",,@IEA @ENERGY,#IndoPacific #IndoPacificBizForum,1191250625620631552,https://twitter.com/USEmbassyBKK/status/1191250625620631552
2019-11-04 06:54:50,USEmbassyBKK,USEmbassyBKK,0,1,1,".@SecretaryRoss &amp; Thai Deputy SecGen Kobsak Pootrakool joined @IVLTeam CEO Dilip Kumar Agarwal &amp; COO Ramesh Narsinghpura to announce the company is acquiring $2 billion worth of petrochemical assets from @huntsman_corp, including three sites in Texas. #IndoPacificBizForum",,@SecretaryRoss @IVLTeam @Huntsman_Corp,#IndoPacificBizForum,1191247415149379585,https://twitter.com/USEmbassyBKK/status/1191247415149379585
2019-11-04 06:53:30,USEmbassyBKK,,0,0,1,"Dilip Kumar Agarwal (CEO) และ Ramesh Narsinghpura (COO) จาก @IVLTeam ประกาศซื้อสินทรัพย์ปิโตรเคมีมูลค่ากว่า 2,000 ล้านUSD จาก @Huntsman_Corp ซึ่งรวมถึงแหล่งผลิต 3 แห่งในเทกซัส โดยมี @SecretaryRoss และคุณกอบศักดิ์ ภูตระกูล รองเลขาฯนายกฯ ร่วมเป็นสักขีพยาน #IndoPacificBizForum",,@IVLTeam @Huntsman_Corp @SecretaryRoss,#IndoPacificBizForum,1191247076555800578,https://twitter.com/USEmbassyBKK/status/1191247076555800578
2019-11-04 06:27:59,USEmbassyBKK,USEmbassyBKK,0,1,4,".@SecretaryRoss, @State_E, Special Advisor Tatsuya Terazawa and @usembassytokyo Chargé d’Affaires Joseph Young signed a strategic partnership statement to coordinate additional $10 billion in Japanese investment in regional dev with U.S. Asia EDGE Initiative. #IndoPacificBizForum",,@SecretaryRoss @State_E @usembassytokyo,#IndoPacificBizForum,1191240657798459393,https://twitter.com/USEmbassyBKK/status/1191240657798459393
2019-11-04 06:26:00,USEmbassyBKK,,0,0,7,"รมว. @SecretaryRoss, ปลัดกต.US ฝ่าย @State_E คีธ แครช,ที่ปรึกษาพิเศษ Tatsuya Terazawa และอุปทูต Joseph Young @usembassytokyo ลงนามความร่วมมือเชิงยุทธศาสตร์ เพื่อบริหารเงินทุนจากญี่ปุ่นเพิ่มเติม 10,000 ล้านUSD เพื่อการพัฒนาในภูมิภาค ผ่านโครงการ Asia EDGE ของUS #IndoPacificBizForum",,@SecretaryRoss @State_E @usembassytokyo,#IndoPacificBizForum,1191240156876984320,https://twitter.com/USEmbassyBKK/status/1191240156876984320
2019-11-04 06:06:30,USEmbassyBKK,USEmbassyBKK,1,5,4,"“Strengthened economic cooperation with the United States will continue to bring unparalleled benefits to our friends, partners, and allies across the Indo-Pacific.” - Under Secretary @KeithJKrach of @State_E at #IndoPacificBizForum",,@KeithJKrach @State_E,#IndoPacificBizForum,1191235251613270016,https://twitter.com/USEmbassyBKK/status/1191235251613270016
2019-11-04 06:06:15,USEmbassyBKK,,0,0,2,"“ความร่วมมือทางเศรษฐกิจที่เข้มแข็งระหว่างสหรัฐฯ กับมิตรประเทศของเราทั่วอินโด-แปซิฟิก จะยังคงนำมาซึ่งผลประโยชน์อันยอดเยี่ยมให้กับภูมิภาค” - คีธ แครช ปลัดกต.สหรัฐฯ ฝ่ายการเติบโตทางเศรษฐกิจ พลังงาน และสิ่งแวดล้อม @State_E ที่ #IndoPacificBizForum",,@State_E,#IndoPacificBizForum,1191235188241551360,https://twitter.com/USEmbassyBKK/status/1191235188241551360
2019-11-04 05:57:15,USEmbassyBKK,USEmbassyBKK,0,6,10,"As more people and businesses in the #IndoPacific come online, domestic and international tech companies will be looking to the region to foster a free and vibrant digital economy. @KeithJKrach of @State_E moderates this #IndoPacificBizForum panel.",,@KeithJKrach @State_E,#IndoPacific #IndoPacificBizForum,1191232922595942402,https://twitter.com/USEmbassyBKK/status/1191232922595942402
